,2019-11-03,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-09,2019-11-10,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-16,2019-11-17,2019-11-18,2019-11-19,2019-11-20,2019-11-21,2019-11-22,2019-11-23,2019-11-25,2019-11-26,2019-11-27,2019-11-28,2019-11-29,2019-11-30,2019-12-01,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-07,2019-12-08,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-14,2019-12-15,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-21,2019-12-22,2019-12-23,2019-12-24,2019-12-25,2019-12-26,2019-12-27,2019-12-28,2019-12-29,2019-12-30,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19
My Crypto Heroes,189.79,189.82,194.05,195.95,196.22,195.14,207.23,209.94,209.25,217.14,218.93,221.35,226.45,229.12,,229.99,231.23,233.36,237.11,240.1,243.5,251.4,139.1,136.89,126.95,130.01,133.89,130.86,133.17,139.9,138.15,140.45,148.72,149.4,149.22,149.22,149.22,149.22,149.22,149.22,149.22,149.22,149.22,281.53,286.95,292.32,287.52,289.74,291.72,294.27,296.93,300.48,304.21,306.8,294.92,357.24,402.18,444.86,733.39,730.26,799.47,898.89,897.63,810.54,800.98,802.49,816.8,817.49,832.89,834.45,836.38,847.49,849.07,850.81,855.0,864.16,866.98,871.84,877.12,882.15,883.9,887.04,888.49,890.0,158.04,149.17,139.79,141.54,142.79,144.38,145.86,146.35,145.6,146.38,146.74,145.29,147.03,138.95,138.49,137.96,138.34,139.15,139.72,138.16,138.51
TronHives,11800000.0,11800000.0,11900000.0,11900000.0,11700000.0,11700000.0,11500000.0,11400000.0,11200000.0,11000000.0,10900000.0,10600000.0,8500000.0,8500000.0,8300000.000000001,8100000.0,7900000.0,,,7200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGame,1800000.0,2000000.0,1700000.0,2000000.0,2200000.0,1100000.0,1400000.0,1700000.0,543400.0,620500.0,706900.0,789100.0,946900.0,1100000.0,1200000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1400000.0,1400000.0,1600000.0,1700000.0,1700000.0,1800000.0,959300.0,1200000.0,1400000.0,1500000.0,2000000.0,1200000.0,1300000.0,1600000.0,1700000.0,1900000.0,2100000.0,2500000.0,1800000.0,2000000.0,4200000.0,2700000.0,3100000.0,3500000.0,3900000.0,4100000.0,4200000.0,4300000.0,4400000.0,1000000.0,1300000.0,1500000.0,1700000.0,1800000.0,2000000.0,2000000.0,2000000.0,807700.0,843800.0,845700.0,1100000.0,1200000.0,1500000.0,1600000.0,791900.0,844700.0,770500.0,817900.0,880600.0,848600.0,893800.0,1000000.0,1000000.0,1200000.0,1200000.0,1200000.0,1300000.0,1300000.0,1300000.0,1300000.0,1000000.0,1100000.0,1200000.0,1100000.0,1100000.0,1200000.0,998000.0,1000000.0,1100000.0,1200000.0,1100000.0,1200000.0,1200000.0,1300000.0,1300000.0,1300000.0,970300.0,954700.0,1000000.0,999900.0,1100000.0,1100000.0,1100000.0,1100000.0
EOS Dynasty,3000.0,3000.0,1200.0,1300.0,1500.0,1600.0,842.35,994.76,1300.0,617.72,851.21,1000.0,1000.0,1100.0,1300.0,1600.0,1700.0,1900.0,2200.0,2600.0,3100.0,1400.0,1700.0,1900.0,2200.0,1200.0,1700.0,922.67,1100.0,1300.0,1500.0,2200.0,1400.0,1600.0,2200.0,1400.0,1900.0,2100.0,1700.0,2000.0,2700.0,1300.0,1500.0,2100.0,2800.0,1300.0,2200.0,2400.0,2800.0,2900.0,3200.0,3500.0,2400.0,4200.0,11000.0,7400.0,7900.0,8900.0,10000.0,7500.0,7700.0,8300.0,8600.0,8000.0,8500.0,9200.0,,10100.0,7400.0,7400.0,7300.0,7500.0,7600.0,7700.0,7300.0,7300.0,7300.0,7400.0,7300.0,10000.0,10400.0,11100.0,11200.0,11500.0,11700.0,7400.0,7500.0,7800.0,7700.0,7900.0,8100.0,8800.0,9000.0,9400.0,10000.0,10100.0,10100.0,10400.0,10400.0,6200.0,6200.0,6400.0,6200.0,6500.0,6800.0
WINk,31000000.0,30800000.0,31600000.0,31400000.0,29800000.0,30300000.0,26500000.0,23600000.0,22100000.0,19000000.0,23100000.0,20700000.0,24900000.0,23000000.0,23700000.0,25000000.0,23700000.0,23000000.0,20600000.0,20800000.0,20600000.0,19200000.0,17600000.0,18300000.0,19100000.0,18300000.0,18800000.0,20400000.0,21500000.0,20300000.0,19200000.0,21500000.0,21300000.0,22600000.0,25000000.0,22900000.0,23000000.0,23700000.0,25100000.0,24400000.0,24100000.0,26400000.0,21200000.0,20500000.0,21300000.0,27300000.0,27100000.0,26000000.0,24400000.0,23800000.0,26200000.0,22300000.0,18000000.0,18400000.0,17200000.0,17200000.0,14800000.0,11500000.0,10400000.0,8300000.000000001,14200000.0,9400000.0,9800000.0,7900000.0,5700000.0,6500000.0,6500000.0,3400000.0,3500000.0,3400000.0,5700000.0,1200000.0,2700000.0,3000000.0,8199999.999999999,8600000.0,6900000.0,4400000.0,12200000.0,9700000.0,8700000.0,6800000.0,16600000.000000002,16200000.0,13900000.0,14400000.0,14700000.0,15600000.0,20000000.0,20500000.0,19100000.0,21300000.0,20200000.0,22100000.0,23300000.0,24700000.0,21800000.0,20800000.0,20100000.0,18000000.0,16600000.000000002,16200000.0,15000000.0,14500000.0,14700000.0
888TRON,4100000.0,4100000.0,3600000.0,4100000.0,4200000.0,3800000.0,4000000.0,4900000.0,3900000.0,6400000.0,7100000.0,5900000.0,6800000.0,5700000.0,6700000.0,5400000.0,6100000.0,5000000.0,5700000.0,5100000.0,5800000.0,5000000.0,4900000.0,5600000.0,4900000.0,5600000.0,5300000.0,5000000.0,4700000.0,5300000.0,4800000.0,7000000.0,,5500000.0,5400000.0,5400000.0,6000000.0,6800000.0,6000000.0,6400000.0,5200000.0,5800000.0,5800000.0,6400000.0,6600000.0,7700000.0,6900000.0,7200000.0,6100000.0,6400000.0,6600000.0,8400000.0,7100000.0,7300000.0,6400000.0,6800000.0,6400000.0,6800000.0,6600000.0,6800000.0,6100000.0,6300000.0,5400000.0,5300000.0,4700000.0,5800000.0,5500000.0,5700000.0,6000000.0,6500000.0,5600000.0,6100000.0,5300000.0,5400000.0,6200000.0,6400000.0,6700000.0,6800000.0,7000000.0,8500000.0,8700000.0,7500000.0,5900000.0,5600000.0,6200000.0,5500000.0,5900000.0,5700000.0,5900000.0,6300000.0,6700000.0,6000000.0,5500000.0,5500000.0,5800000.0,6000000.0,6500000.0,6000000.0,5800000.0,5500000.0,6300000.0,6000000.0,6200000.0,6100000.0,6300000.0
Dice,90200.0,88400.0,,,72000.0,77200.0,97000.0,303700.0,299200.0,247700.0,226500.0,230200.0,,236200.0,231200.0,231300.0,,107700.0,,,,,,,,,,,,,327300.0,328000.0,346100.0,349800.0,380300.0,383800.0,159100.0,162100.0,184100.0,199100.0,240600.0,258600.00000000003,269200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TronTrade,4700000.0,5200000.0,4000000.0,4600000.0,4500000.0,5400000.0,5600000.0,5700000.0,5100000.0,4500000.0,5000000.0,4300000.0,4200000.0,4500000.0,4200000.0,3900000.0,4200000.0,4400000.0,4100000.0,4400000.0,3700000.0,3900000.0,4300000.0,3900000.0,3800000.0,3900000.0,4200000.0,3800000.0,3100000.0,3900000.0,3900000.0,4200000.0,4000000.0,4100000.0,4000000.0,4200000.0,4500000.0,5200000.0,5800000.0,5100000.0,5100000.0,5000000.0,4900000.0,4600000.0,4300000.0,4400000.0,4900000.0,4600000.0,4800000.0,4700000.0,4800000.0,3700000.0,5500000.0,5200000.0,5400000.0,4600000.0,4800000.0,5600000.0,4900000.0,5300000.0,5500000.0,4700000.0,4100000.0,4200000.0,4500000.0,5700000.0,4500000.0,4700000.0,4600000.0,4500000.0,5200000.0,5200000.0,4600000.0,5200000.0,6100000.0,5900000.0,10600000.0,10700000.0,11100000.0,5500000.0,5800000.0,4900000.0,4800000.0,4000000.0,4800000.0,4800000.0,5000000.0,5000000.0,4100000.0,3800000.0,3600000.0,3300000.0,3400000.0,3600000.0,3700000.0,4000000.0,4300000.0,4000000.0,3500000.0,3500000.0,5100000.0,6100000.0,5200000.0,5500000.0,5500000.0
TronWatch Market,1900000.0,2000000.0,2100000.0,2100000.0,2400000.0,2100000.0,2000000.0,2000000.0,1900000.0,2300000.0,2300000.0,2100000.0,2100000.0,2600000.0,2500000.0,2500000.0,2500000.0,2700000.0,2900000.0,2900000.0,2900000.0,3200000.0,3300000.0,3100000.0,3000000.0,3000000.0,3500000.0,3400000.0,3400000.0,3300000.0,3100000.0,2900000.0,2800000.0,2700000.0,2700000.0,2800000.0,2600000.0,2400000.0,2600000.0,2600000.0,2500000.0,2600000.0,2800000.0,2300000.0,2800000.0,2700000.0,2800000.0,2600000.0,2500000.0,2400000.0,2800000.0,2200000.0,1600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Vs Dragon - 龙虎斗,7600.0,7700.0,8600.0,9500.0,10400.0,11600.0,10200.0,11100.0,7500.0,8300.0,9200.0,10100.0,11000.0,11900.0,10700.0,8700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
