,2019-11-03,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-09,2019-11-10,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-16,2019-11-17,2019-11-18,2019-11-19,2019-11-20,2019-11-21,2019-11-22,2019-11-23,2019-11-25,2019-11-26,2019-11-27,2019-11-28,2019-11-29,2019-11-30,2019-12-01,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-07,2019-12-08,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-14,2019-12-15,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-21,2019-12-22,2019-12-23,2019-12-24,2019-12-25,2019-12-26,2019-12-27,2019-12-28,2019-12-29,2019-12-30,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19
My Crypto Heroes,3600.0,3200.0,3600.0,3700.0,3600.0,3200.0,4100.0,3700.0,2800.0,4700.0,3400.0,3900.0,3600.0,3500.0,,3800.0,4900.0,4400.0,4000.0,3900.0,4300.0,3400.0,3200.0,4300.0,3600.0,3400.0,4700.0,3200.0,3800.0,3900.0,3300.0,4000.0,3400.0,4300.0,3000.0,1100.0,5800.0,4100.0,4000.0,4500.0,4100.0,3900.0,3300.0,3100.0,2600.0,3600.0,2600.0,4900.0,3400.0,3500.0,3700.0,4100.0,3900.0,3800.0,4300.0,3800.0,4100.0,3600.0,3900.0,3900.0,4400.0,4100.0,4200.0,3000.0,5100.0,3700.0,3100.0,4900.0,4100.0,3800.0,4100.0,3800.0,3800.0,3800.0,4000.0,4100.0,4200.0,4400.0,3900.0,4200.0,3800.0,3900.0,3700.0,3700.0,3900.0,3800.0,3600.0,4200.0,2900.0,4000.0,3600.0,3300.0,3500.0,4400.0,4900.0,3900.0,4200.0,3800.0,3400.0,3900.0,3500.0,4100.0,3400.0,3400.0,3400.0
TronHives,11200.0,9500.0,8600.0,12000.0,9200.0,14300.0,12500.0,10900.0,9200.0,17600.0,12900.0,7300.0,17100.0,11800.0,9900.0,21200.0,2700.0,,,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGame,87000.0,75100.0,66100.0,90200.0,78900.0,103600.0,82000.0,71500.0,33000.0,66900.0,52800.0,43300.0,61900.0,70600.0,62400.0,60600.0,39700.0,61000.0,41400.0,20800.0,21700.0,23200.0,17500.0,32100.0,15600.0,14400.0,16100.000000000002,33100.0,74300.0,82400.0,79800.0,76200.0,107300.0,64200.0,58000.0,50800.0,52600.0,48500.0,82800.0,42200.0,33100.0,47300.0,42600.0,32200.000000000004,41100.0,43900.0,44000.0,34300.0,36700.0,35700.0,36400.0,34100.0,25100.0,27700.0,25300.0,27300.0,23400.0,27600.0,30700.0,21100.0,17300.0,31500.0,15900.0,19300.0,17200.0,16200.0,26800.0,23200.0,24300.0,18500.0,19800.0,19700.0,20800.0,18800.0,17500.0,15000.0,16600.0,10800.0,11900.0,14400.0,13900.0,12100.0,15100.0,16900.0,15100.0,11300.0,15800.0,16400.0,21200.0,18200.0,21400.0,14800.0,15900.0,18500.0,19700.0,23700.0,16800.0,17900.0,17300.0,17400.0,16200.0,18700.0,12000.0,21400.0,17600.0
EOS Dynasty,36400.0,41000.0,37200.0,36000.0,51500.0,47400.0,53200.0,55200.0,60100.0,70300.0,70500.0,94400.0,64900.00000000001,68000.0,109500.0,103600.0,91900.0,83400.0,100900.0,80400.0,66500.0,72500.0,68900.0,70300.0,78000.0,68700.0,60900.0,69800.0,61300.0,67000.0,64800.0,74600.0,65200.0,75400.0,75400.0,71600.0,69900.0,68000.0,79500.0,74900.0,78100.0,84300.0,73700.0,70300.0,70700.0,75900.0,77400.0,75500.0,85600.0,73100.0,83600.0,82800.0,88700.0,87700.0,97500.0,95500.0,80600.0,88400.0,91800.0,97200.0,94400.0,93700.0,113100.0,100900.0,103300.0,94600.0,,94900.0,92300.0,89500.0,86700.0,89200.0,88600.0,91500.0,46400.0,47200.0,46800.0,46300.0,43600.0,43700.0,47700.0,45000.0,49300.0,48300.0,52200.0,55000.0,55900.0,55600.0,54900.0,58800.0,60100.0,73300.0,65400.00000000001,60600.0,78200.0,73800.0,73400.0,71300.0,71500.0,67500.0,64300.0,49400.0,49800.0,54600.0,58300.0
WINk,402700.0,417500.0,368700.0,307800.0,241300.0,232000.0,267200.0,387400.0,341700.0,298000.0,265700.0,270600.0,298300.0,283200.0,185300.0,345400.0,240000.0,207800.0,210100.0,199500.0,217700.0,230700.0,191400.0,191200.0,208800.0,138600.0,217800.0,199400.0,174600.0,176300.0,158600.0,179900.0,191600.0,168500.0,169000.0,167400.0,173000.0,157300.0,202700.0,165200.0,136200.0,146500.0,193000.0,172000.0,149800.0,160200.0,169300.0,139400.0,143600.0,163500.0,140100.0,454300.0,368400.0,290700.0,228200.0,462200.0,310700.0,344800.0,372000.0,349800.0,235500.0,211300.0,206100.0,185700.0,162800.0,148600.0,134300.0,162000.0,147500.0,161000.0,142600.0,165400.0,182600.0,166100.0,189900.0,156200.0,181200.0,201800.0,167700.0,193700.0,108200.0,172500.0,232800.0,227400.0,211900.0,192000.0,156300.0,195400.0,205200.0,224100.0,203500.0,159700.0,141400.0,164100.0,159800.0,131800.0,113200.0,133300.0,133900.0,139400.0,159700.0,158700.0,134300.0,133800.0,134000.0
888TRON,4700.0,4600.0,4600.0,4600.0,4300.0,4500.0,4500.0,4600.0,4700.0,4700.0,4700.0,4900.0,4800.0,4900.0,1300.0,6500.0,3700.0,4800.0,5600.0,4500.0,4700.0,4500.0,4100.0,2800.0,2800.0,3000.0,4200.0,4100.0,4200.0,4000.0,4200.0,3900.0,,5800.0,3400.0,3200.0,3000.0,3800.0,4500.0,4300.0,4500.0,4500.0,4400.0,4400.0,4500.0,4500.0,4800.0,4600.0,4700.0,4700.0,4600.0,5800.0,6300.0,5800.0,5200.0,4300.0,7200.0,7200.0,7200.0,7100.0,7000.0,7300.0,7400.0,6900.0,6900.0,7100.0,7000.0,7100.0,6600.0,6400.0,7100.0,7200.0,7100.0,6900.0,6900.0,7000.0,7100.0,6900.0,6100.0,6600.0,7300.0,7000.0,6900.0,6900.0,7000.0,6800.0,7000.0,6800.0,7000.0,6800.0,6700.0,6600.0,6700.0,6600.0,6600.0,6900.0,6900.0,7000.0,6400.0,6700.0,6700.0,6700.0,6400.0,6800.0,6600.0
Dice,221100.0,219500.0,,,97500.0,142400.0,98600.0,322600.0,102600.0,24500.0,21200.0,32100.0,,295800.0,256400.0,264000.0,,81200.0,,,,,,,,,,,,,3100.0,4400.0,3600.0,2600.0,3900.0,4100.0,4600.0,3800.0,3600.0,4800.0,4900.0,3500.0,5200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TronTrade,17000.0,16700.0,13000.0,11600.0,10800.0,11900.0,11500.0,13300.0,11200.0,10900.0,10500.0,10600.0,9500.0,10300.0,8200.0,8100.0,7500.0,7400.0,6900.0,7800.0,7600.0,8100.0,7500.0,9100.0,9800.0,9100.0,8100.0,11600.0,11600.0,10700.0,11400.0,11800.0,12100.0,9500.0,9400.0,7500.0,13300.0,10200.0,6900.0,9800.0,7000.0,9300.0,8700.0,8200.0,9500.0,12600.0,11700.0,11500.0,12200.0,14600.0,13600.0,15700.0,14700.0,13300.0,14200.0,12000.0,14800.0,12500.0,7700.0,6100.0,6500.0,7900.0,7700.0,7900.0,8800.0,7600.0,10300.0,10200.0,9500.0,11000.0,10900.0,10600.0,12500.0,9900.0,8100.0,8100.0,7500.0,8000.0,7000.0,8900.0,10600.0,8500.0,8500.0,10000.0,10600.0,8600.0,8800.0,7500.0,8600.0,8400.0,7600.0,8100.0,9300.0,8700.0,9500.0,10300.0,6700.0,8800.0,7400.0,8400.0,9600.0,10700.0,10800.0,8600.0,7400.0
TronWatch Market,8200.0,7800.0,7000.0,7100.0,5400.0,6100.0,7100.0,7800.0,7200.0,6500.0,6100.0,6800.0,6200.0,7200.0,6000.0,6000.0,5600.0,6000.0,5500.0,5400.0,5300.0,5800.0,5600.0,5500.0,5700.0,6100.0,6400.0,5900.0,5900.0,5400.0,5500.0,5500.0,5400.0,5500.0,5500.0,5400.0,4900.0,5100.0,5300.0,5400.0,4600.0,5100.0,5900.0,5500.0,5900.0,6100.0,5400.0,5500.0,4700.0,5500.0,5100.0,5900.0,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Vs Dragon - 龙虎斗,1100.0,789.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
