,2019-11-03,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-09,2019-11-10,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-16,2019-11-17,2019-11-18,2019-11-19,2019-11-20,2019-11-21,2019-11-22,2019-11-23,2019-11-25,2019-11-26,2019-11-27,2019-11-28,2019-11-29,2019-11-30,2019-12-01,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-07,2019-12-08,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-14,2019-12-15,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-21,2019-12-22,2019-12-23,2019-12-24,2019-12-25,2019-12-26,2019-12-27,2019-12-28,2019-12-29,2019-12-30,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19
My Crypto Heroes,3400.0,2600.0,2900.0,3100.0,3000.0,2700.0,3100.0,3000.0,2400.0,3300.0,2800.0,3000.0,2800.0,2900.0,,2700.0,3200.0,3200.0,3000.0,2800.0,3100.0,2700.0,2600.0,3100.0,2800.0,3000.0,3200.0,2600.0,2800.0,3100.0,2700.0,3000.0,2800.0,3300.0,2800.0,1100.0,3800.0,3200.0,3000.0,3200.0,3100.0,3100.0,2600.0,2500.0,2000.0,2600.0,2100.0,2900.0,2500.0,2700.0,2700.0,3100.0,3100.0,3100.0,3100.0,3000.0,3100.0,2900.0,3000.0,3100.0,3200.0,3100.0,3100.0,2400.0,3500.0,3000.0,2600.0,3400.0,3100.0,3000.0,3200.0,2900.0,3200.0,3100.0,3100.0,3200.0,3800.0,3400.0,3100.0,3200.0,3100.0,3100.0,3000.0,2900.0,3000.0,2900.0,2800.0,3100.0,2500.0,3100.0,2500.0,2300.0,2500.0,2800.0,3100.0,3000.0,3100.0,3000.0,2900.0,3100.0,2800.0,3200.0,2900.0,2800.0,2800.0
TronHives,2400.0,2000.0,1800.0,2700.0,2100.0,3400.0,2900.0,2400.0,2000.0,4100.0,3000.0,1500.0,4000.0,2600.0,2200.0,5000.0,340.0,,,989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGame,2200.0,1200.0,2100.0,1700.0,1800.0,1400.0,1800.0,1700.0,1800.0,2000.0,1300.0,2200.0,1600.0,1900.0,1600.0,1500.0,1600.0,1700.0,1800.0,1700.0,852.0,1600.0,1100.0,1300.0,953.0,823.0,1400.0,1200.0,2000.0,2000.0,1700.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1900.0,2100.0,1900.0,1700.0,2000.0,2100.0,1600.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1900.0,2000.0,1900.0,2000.0,2000.0,2000.0,2000.0,2000.0,1300.0,2000.0,2000.0,2000.0,2000.0,2000.0,1700.0,1900.0,1900.0,1500.0,1500.0,1400.0,1700.0,1900.0,1600.0,1100.0,1800.0,1500.0,1800.0,1900.0,1900.0,1900.0,1900.0,1900.0,1800.0,1200.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1800.0,1500.0,1900.0,1900.0,1900.0,1200.0,1900.0,1800.0,1100.0,1900.0,1900.0,1900.0,1200.0
EOS Dynasty,2200.0,2200.0,2200.0,2200.0,2300.0,2200.0,2200.0,2100.0,2200.0,2000.0,1700.0,1700.0,1600.0,1600.0,1700.0,1600.0,1400.0,942.0,982.0,1400.0,1200.0,1300.0,1100.0,1300.0,1300.0,1200.0,1200.0,1200.0,907.0,994.0,2500.0,2700.0,2700.0,2600.0,2700.0,2600.0,2600.0,2600.0,2900.0,2700.0,2700.0,2900.0,3000.0,2800.0,2700.0,2800.0,2800.0,2800.0,3000.0,2700.0,3000.0,2900.0,3100.0,3000.0,2900.0,2900.0,3000.0,3100.0,3400.0,2800.0,3200.0,3800.0,5900.0,3900.0,3100.0,3900.0,,3900.0,3900.0,3600.0,3900.0,3900.0,3900.0,3900.0,4100.0,4000.0,3800.0,3700.0,3600.0,3600.0,3300.0,3400.0,3700.0,3900.0,3700.0,3900.0,4000.0,3400.0,3800.0,4200.0,4200.0,4300.0,4300.0,4300.0,4000.0,4200.0,4600.0,4600.0,4800.0,4500.0,4500.0,3800.0,5300.0,3300.0,3200.0
WINk,2000.0,2000.0,2400.0,2300.0,2100.0,2000.0,2100.0,2200.0,2200.0,2000.0,2000.0,1900.0,1900.0,1900.0,1500.0,2000.0,1700.0,1500.0,1700.0,1600.0,1600.0,1500.0,1400.0,1500.0,1600.0,1300.0,1400.0,1400.0,1300.0,1400.0,1400.0,1400.0,1400.0,1500.0,1500.0,1400.0,1400.0,1400.0,1500.0,1300.0,1300.0,1400.0,1500.0,1400.0,1200.0,1200.0,1200.0,1200.0,1300.0,1400.0,1400.0,1600.0,1600.0,1700.0,1500.0,1700.0,1600.0,1700.0,1500.0,1600.0,1600.0,1500.0,1600.0,1500.0,1300.0,1200.0,1300.0,1400.0,1500.0,1400.0,1400.0,1500.0,1400.0,1400.0,1500.0,1400.0,1500.0,1300.0,1200.0,1400.0,1300.0,1300.0,1400.0,1400.0,1400.0,1300.0,1300.0,1500.0,1500.0,1200.0,1300.0,1300.0,1300.0,1400.0,1400.0,1400.0,1000.0,1200.0,1200.0,1200.0,1300.0,1300.0,1200.0,1200.0,1200.0
888TRON,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1800.0,1800.0,1800.0,1700.0,1800.0,251.0,2000.0,1500.0,1900.0,1900.0,1900.0,1900.0,1900.0,1700.0,1100.0,1100.0,1200.0,1800.0,1800.0,1800.0,1800.0,1700.0,1600.0,,1900.0,1300.0,1200.0,1200.0,1600.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,2000.0,2700.0,2600.0,2300.0,1900.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2700.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0
Dice,1300.0,979.0,,,1900.0,790.0,758.0,567.0,666.0,469.0,462.0,353.0,,459.0,305.0,338.0,,227.0,,,,,,,,,,,,,987.0,888.0,788.0,819.0,902.0,960.0,1100.0,984.0,803.0,1300.0,1200.0,1000.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TronTrade,1200.0,1300.0,1100.0,1100.0,1000.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,942.0,977.0,861.0,868.0,771.0,704.0,822.0,804.0,750.0,787.0,747.0,862.0,985.0,885.0,769.0,703.0,757.0,779.0,818.0,693.0,817.0,745.0,733.0,652.0,786.0,713.0,826.0,641.0,706.0,769.0,828.0,786.0,721.0,644.0,699.0,685.0,740.0,792.0,797.0,841.0,884.0,901.0,929.0,908.0,931.0,944.0,859.0,837.0,916.0,953.0,957.0,932.0,918.0,781.0,928.0,1000.0,1000.0,932.0,918.0,1000.0,1200.0,1000.0,902.0,901.0,879.0,911.0,762.0,965.0,954.0,824.0,910.0,1000.0,943.0,953.0,781.0,777.0,889.0,769.0,793.0,901.0,930.0,914.0,829.0,893.0,708.0,862.0,851.0,871.0,896.0,961.0,844.0,896.0,800.0
TronWatch Market,1200.0,1100.0,1200.0,1000.0,869.0,1000.0,1300.0,1200.0,1200.0,1100.0,1000.0,1000.0,1000.0,1000.0,1100.0,1100.0,994.0,908.0,955.0,936.0,920.0,903.0,840.0,874.0,902.0,908.0,965.0,902.0,900.0,787.0,882.0,878.0,885.0,874.0,856.0,855.0,882.0,851.0,963.0,869.0,830.0,891.0,914.0,908.0,977.0,919.0,865.0,840.0,719.0,812.0,810.0,1000.0,661.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Vs Dragon - 龙虎斗,1100.0,779.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
