,2019-11-03,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-09,2019-11-10,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-16,2019-11-17,2019-11-18,2019-11-19,2019-11-20,2019-11-21,2019-11-22,2019-11-23,2019-11-25,2019-11-26,2019-11-27,2019-11-28,2019-11-29,2019-11-30,2019-12-01,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-07,2019-12-08,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-14,2019-12-15,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-21,2019-12-22,2019-12-23,2019-12-24,2019-12-25,2019-12-26,2019-12-27,2019-12-28,2019-12-29,2019-12-30,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19
My Crypto Heroes,1100.0,971.0,845.0,448.0,190.0,281.0,2300.0,526.0,700.0,3100.0,566.0,541.0,1100.0,559.0,,238.0,611.0,414.0,822.0,547.0,697.0,843.0,3600.0,2100.0,390.0,741.0,1500.0,546.0,422.0,1200.0,326.0,464.0,1300.0,149.0,0.0,0.0,9900.0,1200.0,726.0,5900.0,709.0,1000.0,976.0,1100.0,865.0,772.0,629.0,346.0,422.0,401.0,448.0,556.0,612.0,366.0,25400.0,10200.0,8800.0,6100.0,51500.0,5000.0,13800.0,26400.0,327.0,1800.0,2600.0,254.0,2600.0,211.0,3300.0,389.0,730.0,2300.0,307.0,368.0,288.0,2900.0,2600.0,808.0,1000.0,918.0,538.0,942.0,685.0,351.0,117.0,685.0,234.0,543.0,242.0,426.0,359.0,292.0,109.0,184.0,276.0,409.0,418.0,117.0,33.0,25.0,75.0,312.0,248.0,121.0,98.0
TronHives,5600.0,5300.0,6200.0,5500.0,1500.0,1600.0,1400.0,2200.0,1700.0,1800.0,1700.0,2100.0,9100.0,7600.0,2300.0,4000.0,2400.0,,,1900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGame,409800.0,317800.0,410300.0,380200.0,410700.0,348900.0,304500.0,279100.0,132900.0,192900.0,200900.0,203600.0,251400.0,281900.0,240300.0,247900.0,234000.0,271600.0,265900.0,193700.0,214700.0,234100.0,167000.0,227700.0,284700.0,191200.0,138100.0,208500.0,159500.0,386300.0,272500.0,755400.0,746900.0,820400.0,862200.0,718600.0,573900.0,631200.0,636500.0,503800.0,496200.0,888600.0,1300000.0,749800.0,591500.0,728500.0,791900.0,659000.0,472000.0,809100.0,847100.0,651600.0,549400.0,409100.0,404100.0,430100.0,504500.0,701100.0,794400.0,504600.0,337600.0,595200.0,259600.00000000003,457500.0,271000.0,258900.0,549600.0,479400.0,507300.0,352100.0,409400.0,289000.0,495700.0,362700.0,290900.0,336900.0,302500.0,316200.0,177500.0,201000.0,159300.0,285100.0,368100.0,242300.0,558000.0,522400.0,767100.0,848800.0,943400.0,1100000.0,1200000.0,672500.0,558700.0,866000.0,851600.0,981700.0,745500.0,411700.0,744500.0,891500.0,791100.0,1500000.0,746900.0,1300000.0,898700.0
EOS Dynasty,702.0,1000.0,1000.0,744.0,822.0,1100.0,1900.0,1400.0,2900.0,2300.0,2500.0,3400.0,1700.0,1700.0,3700.0,3100.0,3200.0,2500.0,2500.0,2400.0,2200.0,1400.0,1700.0,2200.0,2400.0,3400.0,2200.0,1900.0,3600.0,2400.0,2400.0,5000.0,2500.0,2400.0,4600.0,2300.0,2500.0,3200.0,3500.0,1900.0,5000.0,4200.0,3900.0,2800.0,4500.0,3300.0,6800.0,2100.0,4600.0,3200.0,2200.0,12200.0,7800.0,10000.0,9900.0,7500.0,5800.0,7200.0,6800.0,15500.0,6700.0,7300.0,8400.0,12000.0,6800.0,6500.0,,6100.0,5400.0,7600.0,4200.0,5800.0,6600.0,5600.0,3000.0,3900.0,3400.0,3800.0,2200.0,11500.0,5600.0,8100.0,7400.0,6000.0,6300.0,7000.0,7100.0,5900.0,4400.0,4500.0,4700.0,9300.0,5900.0,4000.0,7700.0,4700.0,5500.0,8100.0,5900.0,3300.0,3400.0,4300.0,5300.0,4000.0,8700.0
WINk,3400000.0,3000000.0,2200000.0,2000000.0,1900000.0,2100000.0,3900000.0,3200000.0,2300000.0,2200000.0,2000000.0,2000000.0,2200000.0,3300000.0,1200000.0,2300000.0,1400000.0,1900000.0,2300000.0,1800000.0,1900000.0,1200000.0,1400000.0,1500000.0,1400000.0,886900.0,1400000.0,1500000.0,1300000.0,1200000.0,1100000.0,1100000.0,1100000.0,1500000.0,1800000.0,2200000.0,895200.0,4500000.0,1600000.0,1100000.0,919600.0,1700000.0,2300000.0,1400000.0,1500000.0,1300000.0,1300000.0,979000.0,1700000.0,1600000.0,1600000.0,5200000.0,2100000.0,2800000.0,1600000.0,3600000.0,7600000.0,1300000.0,1800000.0,1300000.0,1100000.0,752600.0,1200000.0,1200000.0,1300000.0,1200000.0,1100000.0,1300000.0,872700.0,921200.0,1000000.0,984500.0,1700000.0,1300000.0,4800000.0,1000000.0,982000.0,831300.0,1100000.0,1500000.0,1100000.0,1800000.0,1500000.0,1700000.0,1800000.0,2000000.0,1500000.0,1800000.0,2100000.0,3300000.0,1200000.0,973300.0,836000.0,1300000.0,925200.0,645400.0,987200.0,1400000.0,996100.0,881000.0,1300000.0,2800000.0,1800000.0,1100000.0,1600000.0
888TRON,20600.0,16100.0,30700.0,23400.0,6400.0,7900.0,20900.0,42100.0,15100.0,102600.0,37400.0,43200.0,33600.0,29400.0,52700.0,52100.0,51500.0,212900.0,422200.0,307900.0,306400.0,276600.0,264400.0,215100.0,207600.0,255800.0,374300.0,357900.0,361400.0,380800.0,362700.0,376900.0,,464000.0,229300.0,245900.0,233400.0,310600.0,366000.0,365400.0,398400.0,384400.0,412700.0,375100.0,349100.0,348800.0,390900.0,355600.0,390300.0,409600.0,393900.0,845200.0,1000000.0,995300.0,860800.0,531800.0,640100.0,639600.0,626400.0,610200.0,615900.0,644100.0,648600.0,637400.0,682900.0,714400.0,663000.0,653000.0,664900.0,648400.0,693800.0,702300.0,780100.0,794200.0,784900.0,829000.0,827400.0,828200.0,693200.0,770600.0,805100.0,831300.0,869800.0,933100.0,853100.0,784800.0,809800.0,800600.0,933500.0,790200.0,766000.0,755700.0,766700.0,796900.0,762900.0,834500.0,774600.0,791700.0,729500.0,775700.0,760900.0,1100000.0,919900.0,1100000.0,1000000.0
Dice,281500.0,280200.0,,,60900.0,406100.0,25300.0,115700.0,23500.0,56700.0,210900.0,86500.0,,4900000.0,16200.0,35200.0,,212400.0,,,,,,,,,,,,,295700.0,120200.0,182600.0,137800.0,188700.0,132500.0,140600.0,50600.0,90300.0,269500.0,200800.0,120800.0,254600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TronTrade,609400.0,599800.0,453600.0,306200.0,273600.0,296300.0,368600.0,324500.0,200700.0,159300.0,199300.0,240500.0,256800.0,201500.0,258300.0,196800.0,276400.0,327000.0,180500.0,288000.0,91100.0,144500.0,123600.0,168800.0,185400.0,189600.0,120600.0,154200.0,155300.0,196400.0,177400.0,278200.0,214300.0,225600.0,158800.0,219700.0,190700.0,217200.0,125400.0,207900.0,198500.0,276400.0,164900.0,178300.0,240200.0,245200.0,251300.0,254900.0,393500.0,283000.0,264300.0,233400.0,338400.0,173000.0,178500.0,136800.0,351500.0,179500.0,136700.0,77900.0,113200.0,121100.0,116400.0,121100.0,137900.0,256100.00000000003,169200.0,263500.0,251800.0,217000.0,217100.0,284500.0,266400.0,219700.0,276100.0,242500.0,343200.0,261700.0,183200.0,235600.0,235700.0,219300.0,278500.0,193100.0,311500.0,262500.0,263700.0,165400.0,165400.0,216800.0,225700.0,166300.0,221100.0,253900.0,178500.0,205300.0,130700.0,301900.0,189300.0,167800.0,209400.0,476800.0,500500.0,210200.0,216700.0
TronWatch Market,59800.0,63400.0,54500.0,33000.0,42700.0,47400.0,44400.0,49000.0,36600.0,32400.0,25500.0,33600.0,34500.0,52400.0,36800.0,36000.0,22400.0,37300.0,46200.0,26800.0,18700.0,23900.0,31800.0,22400.0,22000.0,44000.0,40000.0,21100.0,23800.0,32500.0,16100.000000000002,23800.0,23200.0,28000.0,16100.000000000002,20400.0,10300.0,13600.0,16100.000000000002,20200.0,25300.0,25100.0,24000.0,22600.0,27500.0,18800.0,20600.0,15500.0,12800.0,20200.0,22600.0,14300.0,2100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Vs Dragon - 龙虎斗,64.0,57.0,24.0,24.0,24.0,33.0,23.0,43.0,23.0,23.0,23.0,24.0,25.0,22.0,30.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
